"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"ND6RD7M2","book","1987","Kuong, Javier F.","Computer auditing, security, and internal control manual","","978-0-13-162967-7","","","","","1987","2025-03-24 19:07:00","2025-03-24 19:07:39","","","393","","","","","","","","","","Prentice-Hall","Englewood Cliffs, N.J","","","","","","Library Catalog (Blacklight)","QA76.9.A25 K86 1987","","","","https://catalog.libraries.psu.edu/catalog/1043519","interlibrary","Security measures; Access control; Computers; Electronic data processing departments","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I2AVWPXT","book","2022","Hypponen, Mikko; Moss, Jeff","If it's smart, it's vulnerable","","978-1-119-89518-3","","","","""All our devices and gadgets--from our refrigerators to our home security systems, vacuum cleaners, and stereos--are going online, just like our computers did. But once we've successfully connected our devices to the internet, do we have any hope of keeping them, and ourselves, safe from the dangers that lurk beneath the digital waters? In If It's Smart, It's Vulnerable, veteran cybersecurity professional Mikko Hypponen delivers an eye-opening exploration of the best--and worst--things the internet has given us. From instant connectivity between any two points on the globe to organized ransomware gangs, the net truly has been a mixed blessing. In this book, the author explores the transformative potential of the future of the internet, as well as those things that threaten its continued existence: government surveillance, censorship, organized crime, and more""--","2022","2025-03-24 19:09:56","2025-03-24 19:10:14","","","262","","","","","","","","","","Wiley","Hoboken, New Jersey","","","","","","Library Catalog (Blacklight)","QA76.9.A25 M588 2022","OCLC: 1290376044","","","https://catalog.libraries.psu.edu/catalog/39308281","interlibrary","Computer security; Security measures; Internet of things","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D3Q5GNZ7","book","2005","Mollin, Richard A.","Codes: the guide to secrecy from ancient to modern times","","978-1-58488-470-5","","","","","2005","2025-03-24 19:10:27","2025-03-24 19:10:45","","","678","","","","","Codes","","","","","Chapman & Hall/CRC","Boca Raton","","","","","","Library Catalog (Blacklight)","QA76.9.A25 M67 2005","","","","https://catalog.libraries.psu.edu/catalog/2971377","interlibrary","Computer security; Data encryption (Computer science)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S2ZGNZUU","book","2018","Lewis, James Andrew; Center for Strategic and International Studies (Washington, D.C.)","Rethinking cybersecurity: strategy, mass effect, and states","","978-1-4422-8051-9","","","","Despite all the attention, cyberspace is far from secure. Why this is so reflects conceptual weaknesses more than imperfect technologies. Two questions highlight shortcomings in the discussion of cybersecurity. The first is why, after more than two decades, we have not seen anything like a cyber Pearl Harbor, cyber 9/11, or cyber catastrophe. The second is why, despite the increasing quantity of recommendations, there has been so little progress. This report explores these questions and assesses the accuracy of our perceptions of cybersecurity","2018","2025-03-24 19:12:30","2025-03-24 19:12:47","","","41","","","","","Rethinking cybersecurity","","","","","Center for Strategic & International Studies ; Lanham : Rowman & Littlefield","Washington, D.C","","","","","","Library Catalog (Blacklight)","005.8","OCLC: 1020883534","","","https://catalog.libraries.psu.edu/catalog/24522819","interlibrary","Computer security; Computer networks; Security measures; Cyberspace operations (Military science); Internet","","","","Center for Strategic and International Studies (Washington, D.C.)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RAYRF793","book","2000","Schwartau, Winn","Cybershock: surviving hackers, phreakers, identity thieves, Internet terrorists and weapons of mass destruction","","978-1-56025-246-7","","","","","2000","2025-03-24 19:14:13","2025-03-24 19:14:28","","","470","","","","","Cybershock","","","","","Thunder's Mouth Press","New York","","","","","","Library Catalog (Blacklight)","QA76.9.A25 S3537 2000","","","","https://catalog.libraries.psu.edu/catalog/2059094","interlibrary","Computer security; Hackers; Computer crimes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CJ8D2CWG","book","2014","","Security, privacy and trust in cloud systems","","978-3-642-38585-8","","","","","2014","2025-03-24 19:15:29","2025-03-24 19:15:44","","","459","","","","","","","","","","Springer","Heidelberg ; New York","","","","","","Library Catalog (Blacklight)","","OCLC: 871689434","","","https://catalog.libraries.psu.edu/catalog/11530379","interlibrary","Computer security; Security measures; Cloud computing","Nepal, Surya; Pathan, Mukaddim","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BEVB83A5","journalArticle","2025","Kianpour, Mazaher; Franke, Ulrik","The use of simulations in economic cybersecurity decision-making","Journal of Cybersecurity","","2057-2085","10.1093/cybsec/tyaf003","https://doi.org/10.1093/cybsec/tyaf003","This paper presents an in-depth examination of the use of simulations in economic cybersecurity decision-making, highlighting the dual nature of their potential and the challenges they present. Drawing on examples from existing studies, we explore the role of simulations in generating new knowledge about probabilities and consequences in the cybersecurity domain, which is essential in understanding and managing risk and uncertainty. Additionally, we introduce the concepts of “bookkeeping” and “abstraction” within the context of simulations, discussing how they can sometimes fail and exploring the underlying reasons for their failures. This discussion leads us to suggest a framework of considerations for effectively utilizing simulations in cybersecurity. This framework is designed not as a rigid checklist but as a guide for critical thinking and evaluation, aiding users in assessing the suitability and reliability of a simulation model for a particular decision-making context. Future work should focus on applying this framework in real-world settings, continuously refining the use of simulations to ensure they remain effective and relevant in the dynamic field of cybersecurity.","2025-01-01","2025-03-24 19:16:22","2025-03-24 19:17:01","2025-03-24 19:16:22","tyaf003","","1","11","","Journal of Cybersecurity","","","","","","","","","","","","","Silverchair","","","","C:\Users\jackz\Zotero\storage\ZBLCI6BG\Kianpour and Franke - 2025 - The use of simulations in economic cybersecurity decision-making.pdf; C:\Users\jackz\Zotero\storage\P8Y35MEA\8011238.html","","web","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7EJ96U3U","webpage","","","ANOM – Darknet Diaries","","","","","https://darknetdiaries.com/episode/146/","In this episode, Joseph Cox tells us the story of ANOM. A secure phone made by criminals, for criminals.","","2025-03-24 19:19:22","2025-03-24 19:19:37","2025-03-24 19:19:22","","","","","","","","","","","","","","en","","","","","","","","","C:\Users\jackz\Zotero\storage\76UL9VGS\146.html","","web","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JPMVF9VJ","blogPost","","","Episode 5 | Malicious Life","","","","","https://malicious.life/episode/episode-5-the-roots-of-evil/","","","2025-03-24 20:16:50","2025-03-24 20:17:02","2025-03-24 20:16:50","","","","","","","","","","","","","","","","","","","","","","","C:\Users\jackz\Zotero\storage\JWZX3Y7L\episode-5-the-roots-of-evil.html","","web","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QXW6E3FH","blogPost","","","Episode 6 | Malicious Life","","","","","https://malicious.life/episode/episode-6-hell-to-pay/","","","2025-03-24 20:17:15","2025-03-24 20:17:27","2025-03-24 20:17:15","","","","","","","","","","","","","","","","","","","","","","","C:\Users\jackz\Zotero\storage\4XYTTCMS\episode-6-hell-to-pay.html","","web","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87PHJC8B","journalArticle","2024","Che Mat, Nur Ilzam; Jamil, Norziana; Yusoff, Yunus; Mat Kiah, Miss Laiha","A systematic literature review on advanced persistent threat behaviors and its detection strategy","Journal of Cybersecurity","","2057-2085","10.1093/cybsec/tyad023","https://doi.org/10.1093/cybsec/tyad023","Advanced persistent threats (APTs) pose significant security-related challenges to organizations owing to their sophisticated and persistent nature, and are inimical to the confidentiality, integrity, and availability of organizational information and services. This study systematically reviews the literature on methods of detecting APTs by comprehensively surveying research in the area, identifying gaps in the relevant studies, and proposing directions for future work. The authors provide a detailed analysis of current methods of APT detection that are based on multi-stage attack-related behaviors. We adhered to the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines and conducted an extensive search of a variety of databases. A total of 45 studies, encompassing sources from both academia and the industry, were considered in the final analysis. The findings reveal that APTs have the capability to laterally propagate and achieve their objectives by identifying and exploiting existing systemic vulnerabilities. By identifying shortcomings in prevalent methods of APT detection, we propose integrating the multi-stage attack-related behaviors of APTs with the assessment of the presence of vulnerabilities in the network and their susceptibility to being exploited in order to improve the accuracy of their identification. Such an improved approach uses vulnerability scores and probability metrics to determine the probable sequence of targeted nodes, and visualizes the path of APT attacks. This technique of advanced detection enables the early identification of the most likely targets, which, in turn, allows for the implementation of proactive measures to prevent the network from being further compromised. The research here contributes to the literature by highlighting the importance of integrating multi-stage attack-related behaviors, vulnerability assessment, and techniques of visualization for APT detection to enhance the overall security of organizations.","2024-01-01","2025-03-24 20:23:58","2025-03-24 20:24:36","2025-03-24 20:23:58","tyad023","","1","10","","Journal of Cybersecurity","","","","","","","","","","","","","Silverchair","","","","C:\Users\jackz\Zotero\storage\22JQW9Y5\Che Mat et al. - 2024 - A systematic literature review on advanced persistent threat behaviors and its detection strategy.pdf; C:\Users\jackz\Zotero\storage\RI93TH5D\7504935.html","","web","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
